               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.021724,            0.026718,           0.0013216,             0.98667,             0.99383,             0.99147,             0.68721,            0.015554,            0.022171,          0.00055862,           0.0047035,           0.0047035,           0.0047035
                 109,            0.021351,            0.024796,           0.0012119,             0.98557,             0.99686,             0.99165,             0.69808,            0.015233,            0.022167,          0.00057925,            0.004654,            0.004654,            0.004654
                 110,            0.021252,            0.026354,           0.0010189,             0.98605,             0.99567,             0.99279,             0.69085,            0.015565,            0.022007,          0.00066311,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021614,            0.026678,            0.001446,             0.98345,             0.99686,             0.99106,             0.68074,            0.015862,            0.022805,          0.00056007,            0.004555,            0.004555,            0.004555
                 112,            0.022692,            0.026373,           0.0016207,             0.98428,             0.99649,             0.99181,             0.67941,            0.015665,            0.022997,          0.00053697,           0.0045055,           0.0045055,           0.0045055
                 113,            0.021903,            0.025334,           0.0014583,             0.97999,             0.99686,             0.99172,             0.68445,            0.015716,            0.022676,          0.00055336,            0.004456,            0.004456,            0.004456
                 114,            0.021081,            0.025595,            0.001565,             0.97244,             0.99567,             0.99218,             0.69165,            0.015426,            0.022715,          0.00068192,           0.0044065,           0.0044065,           0.0044065
                 115,            0.021689,            0.025231,           0.0014706,             0.97972,             0.99471,             0.99225,             0.69984,            0.015462,            0.022871,          0.00057837,            0.004357,            0.004357,            0.004357
                 116,            0.022201,             0.02732,           0.0009865,             0.98402,             0.99217,             0.99229,             0.69714,            0.015361,            0.022105,          0.00058153,           0.0043075,           0.0043075,           0.0043075
                 117,            0.021324,            0.025215,            0.001853,               0.987,              0.9964,             0.99264,             0.69986,            0.015658,            0.021974,          0.00056327,            0.004258,            0.004258,            0.004258
                 118,            0.021837,            0.026117,            0.001418,             0.98424,             0.98587,             0.99016,             0.69668,            0.015438,            0.021672,            0.001118,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021673,            0.026021,           0.0017277,             0.98671,             0.98655,             0.99201,             0.70439,            0.015369,             0.02126,          0.00096037,            0.004159,            0.004159,            0.004159
                 120,            0.021446,            0.025756,           0.0014365,             0.97824,             0.99213,             0.99169,              0.7001,            0.015288,             0.02159,          0.00086021,           0.0041095,           0.0041095,           0.0041095
